Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PSO_Cumulative_Degradation_Cost,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit,PPO_Cumulative_Degradation_Cost
0,2024-01-01,107.09,107.80228570328352,-1.52,0.1,162.7768,162.7768,608.0,-1.52,0.1,162.7768,162.7768,608.0
1,2024-01-01,104.0,102.10950378253581,0.0,0.1,-0.0,162.7768,608.0,0.0,0.1,-0.0,162.7768,608.0
2,2024-01-01,100.0,96.45488628365388,0.0,0.1,-0.0,162.7768,608.0,0.0,0.1,-0.0,162.7768,608.0
3,2024-01-01,85.66,91.88716258189675,0.0,0.1,-0.0,162.7768,608.0,1.8000000000000003,0.5275000000000001,-154.18800000000002,8.588799999999992,1328.0
4,2024-01-01,85.0,89.85106643562969,0.0,0.1,-0.0,162.7768,608.0,1.5684210526315787,0.9,-133.3157894736842,-124.7269894736842,1955.3684210526314
5,2024-01-01,85.53,89.99884298402753,2.0,0.575,-171.06,-8.283199999999994,1408.0,0.0,0.9,-0.0,-124.7269894736842,1955.3684210526314
6,2024-01-01,95.07,87.565865403734,1.3684210526315792,0.9,-130.09578947368422,-138.37898947368421,1955.3684210526317,0.0,0.9,-0.0,-124.7269894736842,1955.3684210526314
7,2024-01-01,104.07,97.07661045082963,0.0,0.9,-0.0,-138.37898947368421,1955.3684210526317,0.0,0.9,-0.0,-124.7269894736842,1955.3684210526314
8,2024-01-01,106.95,113.7645421152702,-2.0,0.37368421052631584,213.9,75.52101052631579,2755.3684210526317,-1.8,0.4263157894736842,192.51000000000002,67.78301052631582,2675.3684210526317
9,2024-01-01,107.08,113.6556792849636,-1.0400000000000003,0.1,111.36320000000002,186.88421052631583,3171.3684210526317,-1.24,0.1,132.7792,200.56221052631582,3171.3684210526317
10,2024-01-01,104.0,105.51208534097131,0.0,0.1,-0.0,186.88421052631583,3171.3684210526317,0.0,0.1,-0.0,200.56221052631582,3171.3684210526317
11,2024-01-01,98.13,103.95922416290185,2.0,0.575,-196.26,-9.375789473684165,3971.3684210526317,0.0,0.1,-0.0,200.56221052631582,3171.3684210526317
12,2024-01-01,101.55,101.73693639831374,-1.805,0.1,183.29774999999998,173.92196052631581,4693.368421052632,0.0,0.1,-0.0,200.56221052631582,3171.3684210526317
13,2024-01-01,98.16,97.73492604103824,2.0,0.575,-196.32,-22.39803947368418,5493.368421052632,0.0,0.1,-0.0,200.56221052631582,3171.3684210526317
14,2024-01-01,98.17,99.15296909640352,1.3684210526315792,0.9,-134.33789473684214,-156.73593421052632,6040.736842105263,1.8000000000000003,0.5275000000000001,-176.70600000000002,23.856210526315806,3891.3684210526317
15,2024-01-01,105.54,106.49848660880046,0.0,0.9,-0.0,-156.73593421052632,6040.736842105263,1.5684210526315787,0.9,-165.53115789473682,-141.67494736842102,4518.736842105263
16,2024-01-01,110.0,114.22052701928355,0.0,0.9,-0.0,-156.73593421052632,6040.736842105263,0.0,0.9,-0.0,-141.67494736842102,4518.736842105263
17,2024-01-01,120.04,130.65921913631286,0.0,0.9,-0.0,-156.73593421052632,6040.736842105263,0.0,0.9,-0.0,-141.67494736842102,4518.736842105263
18,2024-01-01,131.5,132.00833530945226,-2.0,0.37368421052631584,263.0,106.26406578947368,6840.736842105263,-1.8,0.4263157894736842,236.70000000000002,95.025052631579,5238.736842105263
19,2024-01-01,132.0,118.15638224215455,-1.0400000000000003,0.1,137.28000000000003,243.5440657894737,7256.736842105263,-1.24,0.1,163.68,258.705052631579,5734.736842105263
20,2024-01-01,127.75,118.48662236862643,0.0,0.1,-0.0,243.5440657894737,7256.736842105263,0.0,0.1,-0.0,258.705052631579,5734.736842105263
21,2024-01-01,113.48,111.25614553351464,0.0,0.1,-0.0,243.5440657894737,7256.736842105263,0.0,0.1,-0.0,258.705052631579,5734.736842105263
22,2024-01-01,109.18,114.24905091453098,0.0,0.1,-0.0,243.5440657894737,7256.736842105263,0.0,0.1,-0.0,258.705052631579,5734.736842105263
23,2024-01-01,107.2,94.66337848120295,2.0,0.575,-214.4,29.1440657894737,8056.736842105263,0.0,0.1,-0.0,258.705052631579,5734.736842105263
24,2024-01-02,105.49,102.7092116428856,-1.805,0.1,190.40945,219.5535157894737,8778.736842105263,0.0,0.1,-0.0,258.705052631579,5734.736842105263
25,2024-01-02,90.09,90.85335547696907,0.0,0.1,-0.0,219.5535157894737,8778.736842105263,1.8000000000000003,0.5275000000000001,-162.16200000000003,96.54305263157897,6454.736842105263
26,2024-01-02,84.27,86.84432876147474,0.0,0.1,-0.0,219.5535157894737,8778.736842105263,1.5684210526315787,0.9,-132.17084210526312,-35.627789473684146,7082.105263157895
27,2024-01-02,84.27,81.64399764500216,2.0,0.575,-168.54,51.0135157894737,9578.736842105263,0.0,0.9,-0.0,-35.627789473684146,7082.105263157895
28,2024-01-02,84.27,90.01724181625079,1.3684210526315792,0.9,-115.31684210526318,-64.30332631578948,10126.105263157895,0.0,0.9,-0.0,-35.627789473684146,7082.105263157895
29,2024-01-02,100.0,93.5108325049915,0.0,0.9,-0.0,-64.30332631578948,10126.105263157895,0.0,0.9,-0.0,-35.627789473684146,7082.105263157895
30,2024-01-02,108.28,105.99856011836876,0.0,0.9,-0.0,-64.30332631578948,10126.105263157895,0.0,0.9,-0.0,-35.627789473684146,7082.105263157895
31,2024-01-02,113.85,108.65311839666218,0.0,0.9,-0.0,-64.30332631578948,10126.105263157895,0.0,0.9,-0.0,-35.627789473684146,7082.105263157895
32,2024-01-02,126.9,127.32212064835478,-2.0,0.37368421052631584,253.8,189.49667368421052,10926.105263157895,-1.8,0.4263157894736842,228.42000000000002,192.79221052631587,7802.105263157895
33,2024-01-02,119.5,112.67962739107885,-1.0400000000000003,0.1,124.28000000000003,313.77667368421055,11342.105263157895,-1.24,0.1,148.18,340.97221052631585,8298.105263157895
34,2024-01-02,110.6,111.87255345387132,0.0,0.1,-0.0,313.77667368421055,11342.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
35,2024-01-02,108.28,104.84977202670768,0.0,0.1,-0.0,313.77667368421055,11342.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
36,2024-01-02,105.88,105.5734015273289,0.0,0.1,-0.0,313.77667368421055,11342.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
37,2024-01-02,100.15,89.84999985929939,2.0,0.575,-200.3,113.47667368421054,12142.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
38,2024-01-02,108.28,114.49490094065249,-1.805,0.1,195.4454,308.92207368421055,12864.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
39,2024-01-02,110.0,114.65226724062369,0.0,0.1,-0.0,308.92207368421055,12864.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
40,2024-01-02,112.8,107.73375557238137,2.0,0.575,-225.6,83.32207368421055,13664.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
41,2024-01-02,129.99,135.72794597021925,-1.805,0.1,234.63195000000002,317.9540236842106,14386.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
42,2024-01-02,130.0,126.30488987542624,0.0,0.1,-0.0,317.9540236842106,14386.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
43,2024-01-02,124.29,121.81741858652151,0.0,0.1,-0.0,317.9540236842106,14386.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
44,2024-01-02,111.26,112.15129420869305,0.0,0.1,-0.0,317.9540236842106,14386.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
45,2024-01-02,108.28,97.08205018687187,2.0,0.575,-216.56,101.3940236842106,15186.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
46,2024-01-02,106.0,104.36154053492471,-1.805,0.1,191.32999999999998,292.7240236842106,15908.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
47,2024-01-02,92.41,102.79779958064736,0.0,0.1,-0.0,292.7240236842106,15908.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
48,2024-01-03,82.5,82.52744285356093,0.0,0.1,-0.0,292.7240236842106,15908.105263157895,0.0,0.1,-0.0,340.97221052631585,8298.105263157895
49,2024-01-03,70.1,69.54284967709626,0.0,0.1,-0.0,292.7240236842106,15908.105263157895,1.8000000000000003,0.5275000000000001,-126.18,214.79221052631584,9018.105263157895
50,2024-01-03,50.21346,49.5468997990686,1.368421052247793,0.42499999990885085,-68.71315577020246,224.01086791400812,16455.47368405701,1.5684210526315787,0.9,-78.75584778947366,136.0363627368422,9645.473684210527
51,2024-01-03,40.0,37.355241639998574,2.0,0.8999999999088508,-80.0,144.01086791400812,17255.47368405701,0.0,0.9,-0.0,136.0363627368422,9645.473684210527
52,2024-01-03,50.0,49.64216990455987,0.0,0.8999999999088508,-0.0,144.01086791400812,17255.47368405701,0.0,0.9,-0.0,136.0363627368422,9645.473684210527
53,2024-01-03,75.0,74.36621195864201,0.0,0.8999999999088508,-0.0,144.01086791400812,17255.47368405701,0.0,0.9,-0.0,136.0363627368422,9645.473684210527
54,2024-01-03,95.46,97.38468986189292,0.0,0.8999999999088508,-0.0,144.01086791400812,17255.47368405701,0.0,0.9,-0.0,136.0363627368422,9645.473684210527
55,2024-01-03,108.28,104.78353467213509,0.0,0.8999999999088508,-0.0,144.01086791400812,17255.47368405701,0.0,0.9,-0.0,136.0363627368422,9645.473684210527
56,2024-01-03,114.99561,105.75599584142364,0.0,0.8999999999088508,-0.0,144.01086791400812,17255.47368405701,-1.8,0.4263157894736842,206.992098,343.0284607368422,10365.473684210527
57,2024-01-03,113.34489,105.09420489527552,-2.0,0.37368421043516664,226.68978,370.70064791400813,18055.47368405701,-1.24,0.1,140.54766360000002,483.5761243368422,10861.473684210527
58,2024-01-03,107.85233,116.70218406146134,-1.0399999996536333,0.1,112.16642316264354,482.86707107665165,18471.473683918466,0.0,0.1,-0.0,483.5761243368422,10861.473684210527
59,2024-01-03,105.0,106.600678291881,0.0,0.1,-0.0,482.86707107665165,18471.473683918466,0.0,0.1,-0.0,483.5761243368422,10861.473684210527
