Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PSO_Cumulative_Degradation_Cost,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit,PPO_Cumulative_Degradation_Cost
0,2024-01-01,107.09,91.0265,-1.52,0.1,162.7768,162.7768,608.0,-1.52,0.1,162.7768,162.7768,608.0
1,2024-01-01,104.0,88.39999999999999,0.0,0.1,-0.0,162.7768,608.0,0.0,0.1,-0.0,162.7768,608.0
2,2024-01-01,100.0,114.99999999999999,0.0,0.1,-0.0,162.7768,608.0,0.0,0.1,-0.0,162.7768,608.0
3,2024-01-01,85.66,72.81099999999999,1.368421052632688,0.4250000000002634,-117.21894736851606,45.557852631483954,1155.3684210530753,0.0,0.1,-0.0,162.7768,608.0
4,2024-01-01,85.0,97.74999999999999,1.999999999998891,0.9,-169.99999999990575,-124.4421473684218,1955.3684210526317,0.0,0.1,-0.0,162.7768,608.0
5,2024-01-01,85.53,98.3595,0.0,0.9,-0.0,-124.4421473684218,1955.3684210526317,0.0,0.1,-0.0,162.7768,608.0
6,2024-01-01,95.07,104.52516903641819,0.0,0.9,-0.0,-124.4421473684218,1955.3684210526317,0.0,0.1,-0.0,162.7768,608.0
7,2024-01-01,104.07,88.45949999999999,0.0,0.9,-0.0,-124.4421473684218,1955.3684210526317,0.0,0.1,-0.0,162.7768,608.0
8,2024-01-01,106.95,90.9075,-2.0,0.37368421052631584,213.9,89.4578526315782,2755.3684210526317,0.0,0.1,-0.0,162.7768,608.0
9,2024-01-01,107.08,112.80091052628728,0.9529085846724589,0.5999999993860248,-102.03745124672689,-12.579598615148683,3136.5318549216154,0.0,0.1,-0.0,162.7768,608.0
10,2024-01-01,104.0,105.44847833525894,-0.6999999975337292,0.4157894737192539,72.79999974350784,60.22040112835916,3416.531853935107,0.0,0.1,-0.0,162.7768,608.0
11,2024-01-01,98.13,83.4105,2.0,0.8907894737192539,-196.26,-136.03959887164083,4216.5318539351065,0.0,0.1,-0.0,162.7768,608.0
12,2024-01-01,101.55,116.78249999999998,0.0,0.8907894737192539,-0.0,-136.03959887164083,4216.5318539351065,0.0,0.1,-0.0,162.7768,608.0
13,2024-01-01,98.16,90.05259026747797,-1.8631578939432527,0.40048476478681894,182.88757886946968,46.847979997828844,4961.795011512408,0.0,0.1,-0.0,162.7768,608.0
14,2024-01-01,98.17,112.8955,2.0,0.8754847647868189,-196.34,-149.49202000217116,5761.795011512408,0.0,0.1,-0.0,162.7768,608.0
15,2024-01-01,105.54,121.371,0.10322204300286783,0.9,-10.894054418522671,-160.38607442069383,5803.083828713555,0.0,0.1,-0.0,162.7768,608.0
16,2024-01-01,110.0,93.5,0.0,0.9,-0.0,-160.38607442069383,5803.083828713555,0.0,0.1,-0.0,162.7768,608.0
17,2024-01-01,120.04,138.046,0.0,0.9,-0.0,-160.38607442069383,5803.083828713555,0.0,0.1,-0.0,162.7768,608.0
18,2024-01-01,131.5,145.51575815031373,-2.0,0.37368421052631584,263.0,102.61392557930617,6603.083828713555,0.0,0.1,-0.0,162.7768,608.0
19,2024-01-01,132.0,151.79999999999998,-1.0400000000000003,0.1,137.28000000000003,239.8939255793062,7019.083828713555,0.0,0.1,-0.0,162.7768,608.0
20,2024-01-01,127.75,132.85919873955083,0.0,0.1,-0.0,239.8939255793062,7019.083828713555,0.0,0.1,-0.0,162.7768,608.0
21,2024-01-01,113.48,130.50199999999998,0.0,0.1,-0.0,239.8939255793062,7019.083828713555,0.0,0.1,-0.0,162.7768,608.0
22,2024-01-01,109.18,92.803,0.0,0.1,-0.0,239.8939255793062,7019.083828713555,0.0,0.1,-0.0,162.7768,608.0
23,2024-01-01,107.2,91.12,1.368421052631593,0.4250000000000034,-146.69473684210678,93.19918873719942,7566.452249766192,0.0,0.1,-0.0,162.7768,608.0
24,2024-01-02,105.49,121.31349999999999,-1.2350000000000128,0.1,130.28015000000133,223.47933873720075,8060.452249766197,0.0,0.1,-0.0,162.7768,608.0
25,2024-01-02,90.09,78.49839046591049,0.0,0.1,-0.0,223.47933873720075,8060.452249766197,0.0,0.1,-0.0,162.7768,608.0
26,2024-01-02,84.27,79.53992839509817,1.368421052657616,0.42500000000618376,-115.31684210745729,108.16249662974346,8607.820670829244,0.0,0.1,-0.0,162.7768,608.0
27,2024-01-02,84.27,71.6295,1.9999999999739633,0.9,-168.53999999780586,-60.377503368062406,9407.820670818828,0.0,0.1,-0.0,162.7768,608.0
28,2024-01-02,84.27,89.75531861036124,-1.8999999916784984,0.4000000021898688,160.11299929874704,99.73549593068464,10167.820667490227,0.0,0.1,-0.0,162.7768,608.0
29,2024-01-02,100.0,107.5271674354982,2.0,0.8750000021898687,-200.0,-100.26450406931536,10967.820667490227,0.0,0.1,-0.0,162.7768,608.0
30,2024-01-02,108.28,122.64559586332835,0.10526314867423703,0.9,-11.397893738446385,-111.66239780776175,11009.92592695992,0.0,0.1,-0.0,162.7768,608.0
31,2024-01-02,113.85,96.7725,0.0,0.9,-0.0,-111.66239780776175,11009.92592695992,0.0,0.1,-0.0,162.7768,608.0
32,2024-01-02,126.9,135.2621034226713,-1.2000005507187224,0.5842103813898099,152.28006988620587,40.617672078444116,11489.92614724741,0.0,0.1,-0.0,162.7768,608.0
33,2024-01-02,119.5,137.42499999999998,-1.8399994492812775,0.1,219.87993418911265,260.49760626755676,12225.92592695992,0.0,0.1,-0.0,162.7768,608.0
34,2024-01-02,110.6,127.18999999999998,0.0,0.1,-0.0,260.49760626755676,12225.92592695992,0.0,0.1,-0.0,162.7768,608.0
35,2024-01-02,108.28,119.99730356792519,0.0,0.1,-0.0,260.49760626755676,12225.92592695992,0.0,0.1,-0.0,162.7768,608.0
36,2024-01-02,105.88,115.70217557499618,0.0,0.1,-0.0,260.49760626755676,12225.92592695992,0.0,0.1,-0.0,162.7768,608.0
37,2024-01-02,100.15,115.1725,2.0,0.575,-200.3,60.19760626755675,13025.92592695992,0.0,0.1,-0.0,162.7768,608.0
38,2024-01-02,108.28,115.55955552716232,-0.5999231550946228,0.41712548550141504,64.95967923364576,125.15728550120251,13265.895188997769,0.0,0.1,-0.0,162.7768,608.0
39,2024-01-02,110.0,110.02691068047898,0.033155848513563256,0.4249999995233863,-3.647143336491958,121.51014216471054,13279.157528403193,0.0,0.1,-0.0,162.7768,608.0
40,2024-01-02,112.8,108.52812440985248,0.0,0.4249999995233863,-0.0,121.51014216471054,13279.157528403193,0.0,0.1,-0.0,162.7768,608.0
41,2024-01-02,129.99,149.4885,0.0,0.4249999995233863,-0.0,121.51014216471054,13279.157528403193,0.0,0.1,-0.0,162.7768,608.0
42,2024-01-02,130.0,149.5,-1.234999998188868,0.1,160.54999976455284,282.0601419292634,13773.15752767874,0.0,0.1,-0.0,162.7768,608.0
43,2024-01-02,124.29,113.10296471217035,2.0,0.575,-248.58,33.4801419292634,14573.15752767874,0.0,0.1,-0.0,162.7768,608.0
44,2024-01-02,111.26,94.571,0.0,0.575,-0.0,33.4801419292634,14573.15752767874,0.0,0.1,-0.0,162.7768,608.0
45,2024-01-02,108.28,124.52199999999999,-1.805,0.1,195.4454,228.9255419292634,15295.15752767874,0.0,0.1,-0.0,162.7768,608.0
46,2024-01-02,106.0,90.1,0.0,0.1,-0.0,228.9255419292634,15295.15752767874,0.0,0.1,-0.0,162.7768,608.0
47,2024-01-02,92.41,86.63095510888856,0.0,0.1,-0.0,228.9255419292634,15295.15752767874,0.0,0.1,-0.0,162.7768,608.0
48,2024-01-03,82.5,90.73345227978828,0.0,0.1,-0.0,228.9255419292634,15295.15752767874,0.0,0.1,-0.0,162.7768,608.0
49,2024-01-03,70.1,80.61499999999998,0.0,0.1,-0.0,228.9255419292634,15295.15752767874,0.0,0.1,-0.0,162.7768,608.0
50,2024-01-03,50.21346,57.745478999999996,0.0,0.1,-0.0,228.9255419292634,15295.15752767874,1.2000000000000002,0.385,-60.25615200000001,102.520648,1088.0
51,2024-01-03,40.0,34.0,2.0,0.575,-80.0,148.9255419292634,16095.15752767874,1.2000000000000002,0.67,-48.00000000000001,54.52064799999999,1568.0
52,2024-01-03,50.0,45.92125514849407,1.3684210526315792,0.9,-68.42105263157896,80.50448929768444,16642.525948731374,0.968421052631579,0.9,-48.421052631578945,6.099595368421042,1955.3684210526317
53,2024-01-03,75.0,86.25,0.0,0.9,-0.0,80.50448929768444,16642.525948731374,0.0,0.9,-0.0,6.099595368421042,1955.3684210526317
54,2024-01-03,95.46,81.14099999999999,0.0,0.9,-0.0,80.50448929768444,16642.525948731374,-1.6,0.4789473684210526,152.736,158.83559536842102,2595.3684210526317
55,2024-01-03,108.28,111.55166301718263,-2.0,0.37368421052631584,216.56,297.0644892976844,17442.525948731374,-1.4399999999999997,0.10000000000000003,155.92319999999998,314.75879536842103,3171.3684210526317
56,2024-01-03,114.99561,132.24495149999998,-1.0400000000000003,0.1,119.59543440000003,416.65992369768446,17858.525948731374,0.0,0.10000000000000003,-0.0,314.75879536842103,3171.3684210526317
57,2024-01-03,113.34489,124.02349223786882,0.0,0.1,-0.0,416.65992369768446,17858.525948731374,0.0,0.10000000000000003,-0.0,314.75879536842103,3171.3684210526317
58,2024-01-03,107.85233,124.03017949999999,0.0,0.1,-0.0,416.65992369768446,17858.525948731374,0.0,0.10000000000000003,-0.0,314.75879536842103,3171.3684210526317
