Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,117.799,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,114.4,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,110.00000000000001,0.0,0.1,-0.0,162.7768,1.8000000000000003,0.5275000000000001,-180.00000000000003,-17.22320000000002
3,2024-01-01,85.66,94.226,0.0,0.1,-0.0,162.7768,1.5684210526315787,0.9,-134.35094736842103,-151.57414736842105
4,2024-01-01,85.0,93.50000000000001,2.0,0.575,-170.0,-7.223199999999991,0.0,0.9,-0.0,-151.57414736842105
5,2024-01-01,85.53,94.08300000000001,1.3684210526315792,0.9,-117.04105263157896,-124.26425263157896,0.0,0.9,-0.0,-151.57414736842105
6,2024-01-01,95.07,104.577,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-151.57414736842105
7,2024-01-01,104.07,114.477,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-151.57414736842105
8,2024-01-01,106.95,117.64500000000001,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-151.57414736842105
9,2024-01-01,107.08,117.78800000000001,-2.0,0.37368421052631584,214.16,89.89574736842104,-1.8,0.4263157894736842,192.744,41.16985263157895
10,2024-01-01,104.0,114.4,-1.0400000000000003,0.1,108.16000000000003,198.05574736842107,-1.24,0.1,128.96,170.12985263157896
11,2024-01-01,98.13,107.943,2.0,0.575,-196.26,1.7957473684210754,0.0,0.1,-0.0,170.12985263157896
12,2024-01-01,101.55,111.70500000000001,0.0,0.575,-0.0,1.7957473684210754,0.0,0.1,-0.0,170.12985263157896
