Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,113.89339673298417,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,99.19391510036336,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,101.5734103692832,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
3,2024-01-01,85.66,82.07173444739684,2.0,0.575,-171.32,-8.543199999999985,1.6,0.48,-137.056,25.720799999999997
4,2024-01-01,85.0,87.78704067871637,-0.5999999999997853,0.41710526315795116,50.999999999981746,42.45679999998176,1.6,0.86,-136.0,-110.2792
5,2024-01-01,85.53,86.4904885427311,2.0,0.8921052631579511,-171.06,-128.60320000001823,0.1684210526315791,0.9,-14.405052631578961,-124.68425263157897
6,2024-01-01,95.07,94.99620069303545,0.033240997229679534,0.9,-3.1602216066256332,-131.76342160664387,0.0,0.9,-0.0,-124.68425263157897
7,2024-01-01,104.07,104.20671876773287,-2.0,0.37368421052631584,208.14,76.37657839335611,0.0,0.9,-0.0,-124.68425263157897
8,2024-01-01,106.95,108.33728308272939,-1.0400000000000003,0.1,111.22800000000004,187.60457839335615,0.0,0.9,-0.0,-124.68425263157897
9,2024-01-01,107.08,110.41392027453874,0.0,0.1,-0.0,187.60457839335615,-2.0,0.37368421052631584,214.16,89.47574736842103
10,2024-01-01,104.0,102.86203939711815,0.0,0.1,-0.0,187.60457839335615,-1.0400000000000003,0.1,108.16000000000003,197.63574736842105
11,2024-01-01,98.13,94.4606728916925,2.0,0.575,-196.26,-8.655421606643841,0.0,0.1,-0.0,197.63574736842105
12,2024-01-01,101.55,107.10132347257911,-0.5999999994940236,0.41710526329104636,60.9299999486181,52.274578341974255,1.6,0.48,-162.48000000000002,35.15574736842103
13,2024-01-01,98.16,94.06783547557013,2.0,0.8921052632910463,-196.32,-144.04542165802573,1.6,0.86,-157.056,-121.90025263157898
