Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,96.381,0.0,0.5,-0.0,0.0,1.6842105263157896,0.9,-180.3621052631579,-180.3621052631579
1,2024-01-01,104.0,94.61373144120509,-1.52,0.1,158.08,158.08,0.0,0.9,-0.0,-180.3621052631579
2,2024-01-01,100.0,110.00000000000001,0.0,0.1,-0.0,158.08,0.0,0.9,-0.0,-180.3621052631579
3,2024-01-01,85.66,94.226,0.0,0.1,-0.0,158.08,0.0,0.9,-0.0,-180.3621052631579
4,2024-01-01,85.0,93.50000000000001,2.0,0.575,-170.0,-11.919999999999987,0.0,0.9,-0.0,-180.3621052631579
5,2024-01-01,85.53,76.977,1.3684210526315792,0.9,-117.04105263157896,-128.96105263157895,0.0,0.9,-0.0,-180.3621052631579
6,2024-01-01,95.07,104.577,0.0,0.9,-0.0,-128.96105263157895,0.0,0.9,-0.0,-180.3621052631579
7,2024-01-01,104.07,114.477,0.0,0.9,-0.0,-128.96105263157895,0.0,0.9,-0.0,-180.3621052631579
8,2024-01-01,106.95,113.75973923614985,0.0,0.9,-0.0,-128.96105263157895,0.0,0.9,-0.0,-180.3621052631579
9,2024-01-01,107.08,96.372,-2.0,0.37368421052631584,214.16,85.19894736842105,0.0,0.9,-0.0,-180.3621052631579
10,2024-01-01,104.0,104.03177853443432,0.0,0.37368421052631584,-0.0,85.19894736842105,0.0,0.9,-0.0,-180.3621052631579
11,2024-01-01,98.13,95.10292432230906,2.0,0.8486842105263158,-196.26,-111.06105263157895,0.0,0.9,-0.0,-180.3621052631579
12,2024-01-01,101.55,99.86543388301016,-2.0,0.32236842105263164,203.1,92.03894736842105,0.0,0.9,-0.0,-180.3621052631579
13,2024-01-01,98.16,107.976,2.0,0.7973684210526316,-196.32,-104.28105263157894,0.0,0.9,-0.0,-180.3621052631579
14,2024-01-01,98.17,100.08461688188554,0.43213296398891965,0.9,-42.42249307479224,-146.7035457063712,0.0,0.9,-0.0,-180.3621052631579
15,2024-01-01,105.54,94.986,0.0,0.9,-0.0,-146.7035457063712,0.0,0.9,-0.0,-180.3621052631579
16,2024-01-01,110.0,121.00000000000001,0.0,0.9,-0.0,-146.7035457063712,0.0,0.9,-0.0,-180.3621052631579
17,2024-01-01,120.04,126.90884997598229,0.0,0.9,-0.0,-146.7035457063712,0.0,0.9,-0.0,-180.3621052631579
