Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,114.46496429997997,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,111.06342230273819,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,96.4977086338589,0.0,0.1,-0.0,162.7768,1.8000000000000003,0.5275000000000001,-180.00000000000003,-17.22320000000002
3,2024-01-01,85.66,86.02468434696159,2.0,0.575,-171.32,-8.543199999999985,1.5684210526315787,0.9,-134.35094736842103,-151.57414736842105
4,2024-01-01,85.0,79.6043172306861,1.3684210526315792,0.9,-116.31578947368423,-124.85898947368422,0.0,0.9,-0.0,-151.57414736842105
5,2024-01-01,85.53,90.19843869546892,0.0,0.9,-0.0,-124.85898947368422,0.0,0.9,-0.0,-151.57414736842105
6,2024-01-01,95.07,92.35099752529652,0.0,0.9,-0.0,-124.85898947368422,0.0,0.9,-0.0,-151.57414736842105
7,2024-01-01,104.07,104.74279326583222,0.0,0.9,-0.0,-124.85898947368422,0.0,0.9,-0.0,-151.57414736842105
8,2024-01-01,106.95,112.02107791017531,-2.0,0.37368421052631584,213.9,89.04101052631579,0.0,0.9,-0.0,-151.57414736842105
9,2024-01-01,107.08,111.06997385192517,-1.0400000000000003,0.1,111.36320000000002,200.4042105263158,-2.0,0.37368421052631584,214.16,62.585852631578945
10,2024-01-01,104.0,113.14853417737325,0.0,0.1,-0.0,200.4042105263158,-1.0400000000000003,0.1,108.16000000000003,170.74585263157897
11,2024-01-01,98.13,106.77586903763543,0.0,0.1,-0.0,200.4042105263158,0.0,0.1,-0.0,170.74585263157897
12,2024-01-01,101.55,97.56926805253342,2.0,0.575,-203.1,-2.6957894736841865,1.8000000000000003,0.5275000000000001,-182.79000000000002,-12.04414736842105
13,2024-01-01,98.16,91.84993932018011,1.3684210526315792,0.9,-134.32421052631582,-137.02,1.5684210526315787,0.9,-153.95621052631577,-166.00035789473682
14,2024-01-01,98.17,103.60225363608606,-2.0,0.37368421052631584,196.34,59.31999999999999,0.0,0.9,-0.0,-166.00035789473682
15,2024-01-01,105.54,108.40086037884838,2.0,0.8486842105263158,-211.08,-151.76000000000002,0.0,0.9,-0.0,-166.00035789473682
16,2024-01-01,110.0,106.33182300984414,0.21606648199445982,0.9,-23.76731301939058,-175.5273130193906,0.0,0.9,-0.0,-166.00035789473682
17,2024-01-01,120.04,116.21872349331507,0.0,0.9,-0.0,-175.5273130193906,0.0,0.9,-0.0,-166.00035789473682
18,2024-01-01,131.5,126.90670163970313,-2.0,0.37368421052631584,263.0,87.47268698060941,-2.0,0.37368421052631584,263.0,96.99964210526318
19,2024-01-01,132.0,144.15564645639532,-1.0400000000000003,0.1,137.28000000000003,224.75268698060944,-1.0400000000000003,0.1,137.28000000000003,234.2796421052632
20,2024-01-01,127.75,117.64661942732145,0.0,0.1,-0.0,224.75268698060944,0.0,0.1,-0.0,234.2796421052632
21,2024-01-01,113.48,109.67395810001305,0.0,0.1,-0.0,224.75268698060944,0.0,0.1,-0.0,234.2796421052632
22,2024-01-01,109.18,105.49823162719524,2.0,0.575,-218.36,6.392686980609426,0.0,0.1,-0.0,234.2796421052632
23,2024-01-01,107.2,100.79558684235464,0.0,0.575,-0.0,6.392686980609426,0.0,0.1,-0.0,234.2796421052632
24,2024-01-02,105.49,115.61485013621234,-1.805,0.1,190.40945,196.80213698060942,0.0,0.1,-0.0,234.2796421052632
25,2024-01-02,90.09,86.70711411687226,2.0,0.575,-180.18,16.62213698060941,1.8000000000000003,0.5275000000000001,-162.16200000000003,72.11764210526317
26,2024-01-02,84.27,84.09951291825544,1.3684210526315792,0.9,-115.31684210526318,-98.69470512465377,1.5684210526315787,0.9,-132.17084210526312,-60.05319999999995
27,2024-01-02,84.27,92.35119064978798,-1.8999999750973016,0.40000000655334167,160.1129979014496,61.41829277679584,0.0,0.9,-0.0,-60.05319999999995
28,2024-01-02,84.27,81.27636862330415,2.0,0.8750000065533416,-168.54,-107.12170722320415,0.0,0.9,-0.0,-60.05319999999995
29,2024-01-02,100.0,105.45423092444899,-2.0,0.34868421707965747,200.0,92.87829277679585,0.0,0.9,-0.0,-60.05319999999995
