Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-1.52,0.1,162.7768,162.7768,-1.2,0.1842105263157895,128.508,128.508
1,2024-01-01,104.0,104.0,0.0,0.1,-0.0,162.7768,-0.32,0.1,33.28,161.788
2,2024-01-01,100.0,100.0,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,161.788
3,2024-01-01,85.66,85.66,0.0,0.1,-0.0,162.7768,2.0,0.575,-171.32,-9.531999999999982
4,2024-01-01,85.0,85.0,0.0,0.1,-0.0,162.7768,1.3684210526315792,0.9,-116.31578947368423,-125.84778947368422
5,2024-01-01,85.53,85.53,2.0,0.575,-171.06,-8.283199999999994,0.0,0.9,-0.0,-125.84778947368422
6,2024-01-01,95.07,95.07,1.3684210526315792,0.9,-130.09578947368422,-138.37898947368421,0.0,0.9,-0.0,-125.84778947368422
7,2024-01-01,104.07,104.07,0.0,0.9,-0.0,-138.37898947368421,0.0,0.9,-0.0,-125.84778947368422
8,2024-01-01,106.95,106.95,0.0,0.9,-0.0,-138.37898947368421,-1.2,0.5842105263157895,128.34,2.4922105263157874
9,2024-01-01,107.08,107.08,0.0,0.9,-0.0,-138.37898947368421,-1.2,0.268421052631579,128.49599999999998,130.98821052631575
10,2024-01-01,104.0,104.0,-2.0,0.37368421052631584,208.0,69.62101052631579,-0.6400000000000001,0.1,66.56000000000002,197.54821052631576
11,2024-01-01,98.13,98.13,2.0,0.8486842105263158,-196.26,-126.6389894736842,0.0,0.1,-0.0,197.54821052631576
12,2024-01-01,101.55,101.55,0.0,0.8486842105263158,-0.0,-126.6389894736842,0.0,0.1,-0.0,197.54821052631576
13,2024-01-01,98.16,98.16,0.21606648199445982,0.9,-21.209085872576175,-147.84807534626037,2.0,0.575,-196.32,1.2282105263157632
14,2024-01-01,98.17,98.17,0.0,0.9,-0.0,-147.84807534626037,1.3684210526315792,0.9,-134.33789473684214,-133.10968421052638
