Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,104.0,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,100.0,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
3,2024-01-01,85.66,85.66,0.0,0.1,-0.0,162.7768,2.0,0.575,-171.32,-8.543199999999985
4,2024-01-01,85.0,85.0,2.0,0.575,-170.0,-7.223199999999991,1.3684210526315792,0.9,-116.31578947368423,-124.85898947368422
5,2024-01-01,85.53,85.53,1.3684210526315792,0.9,-117.04105263157896,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
6,2024-01-01,95.07,95.07,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
7,2024-01-01,104.07,104.07,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
8,2024-01-01,106.95,106.95,-1.201135947767697,0.5839115926927113,128.4614896137552,4.197236982176236,-1.6,0.4789473684210526,171.12,46.261010526315786
9,2024-01-01,107.08,107.08,-1.838864052232303,0.1,196.905562713035,201.10279969521125,-1.4399999999999997,0.10000000000000003,154.19519999999997,200.45621052631577
10,2024-01-01,104.0,104.0,0.0,0.1,-0.0,201.10279969521125,0.0,0.10000000000000003,-0.0,200.45621052631577
11,2024-01-01,98.13,98.13,2.0,0.575,-196.26,4.842799695211255,0.0,0.10000000000000003,-0.0,200.45621052631577
12,2024-01-01,101.55,101.55,0.0,0.575,-0.0,4.842799695211255,0.0,0.10000000000000003,-0.0,200.45621052631577
13,2024-01-01,98.16,98.16,1.3684210526315792,0.9,-134.32421052631582,-129.48141083110457,2.0,0.575,-196.32,4.136210526315779
14,2024-01-01,98.17,98.17,0.0,0.9,-0.0,-129.48141083110457,1.3684210526315792,0.9,-134.33789473684214,-130.20168421052637
15,2024-01-01,105.54,105.54,0.0,0.9,-0.0,-129.48141083110457,0.0,0.9,-0.0,-130.20168421052637
16,2024-01-01,110.0,110.0,0.0,0.9,-0.0,-129.48141083110457,0.0,0.9,-0.0,-130.20168421052637
17,2024-01-01,120.04,120.04,0.0,0.9,-0.0,-129.48141083110457,0.0,0.9,-0.0,-130.20168421052637
18,2024-01-01,131.5,131.5,-2.0,0.37368421052631584,263.0,133.51858916889543,-1.6,0.4789473684210526,210.4,80.19831578947364
19,2024-01-01,132.0,132.0,-1.0400000000000003,0.1,137.28000000000003,270.79858916889543,-1.4399999999999997,0.10000000000000003,190.07999999999996,270.2783157894736
20,2024-01-01,127.75,127.75,0.0,0.1,-0.0,270.79858916889543,0.0,0.10000000000000003,-0.0,270.2783157894736
21,2024-01-01,113.48,113.48,0.0,0.1,-0.0,270.79858916889543,0.0,0.10000000000000003,-0.0,270.2783157894736
22,2024-01-01,109.18,109.18,0.0,0.1,-0.0,270.79858916889543,0.0,0.10000000000000003,-0.0,270.2783157894736
23,2024-01-01,107.2,107.2,0.0,0.1,-0.0,270.79858916889543,0.0,0.10000000000000003,-0.0,270.2783157894736
24,2024-01-02,105.49,105.49,0.0,0.1,-0.0,270.79858916889543,0.0,0.10000000000000003,-0.0,270.2783157894736
