Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,105.14260439726252,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,108.71049138508376,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,95.38287716444275,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
3,2024-01-01,85.66,89.55645342879734,0.0,0.1,-0.0,162.7768,2.0,0.575,-171.32,-8.543199999999985
4,2024-01-01,85.0,82.7988949572169,2.0,0.575,-170.0,-7.223199999999991,1.3684210526315792,0.9,-116.31578947368423,-124.85898947368422
5,2024-01-01,85.53,88.21234091110108,1.3684210526315792,0.9,-117.04105263157896,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
6,2024-01-01,95.07,99.63449725861211,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
7,2024-01-01,104.07,100.37042014550707,0.0,0.9,-0.0,-124.26425263157896,0.0,0.9,-0.0,-124.85898947368422
8,2024-01-01,106.95,106.33859496384392,-1.1999999999999715,0.584210526315797,128.33999999999696,4.075747368418007,0.0,0.9,-0.0,-124.85898947368422
9,2024-01-01,107.08,107.12832760045556,-1.8400000000000285,0.1,197.02720000000306,201.10294736842107,-2.0,0.37368421052631584,214.16,89.30101052631578
10,2024-01-01,104.0,103.05696942433643,0.0,0.1,-0.0,201.10294736842107,-1.0400000000000003,0.1,108.16000000000003,197.46101052631582
11,2024-01-01,98.13,99.13664736695678,0.0,0.1,-0.0,201.10294736842107,0.0,0.1,-0.0,197.46101052631582
12,2024-01-01,101.55,97.96127458032608,1.3684210638207122,0.4250000026574191,-138.96315903099332,62.139788337427746,0.0,0.1,-0.0,197.46101052631582
13,2024-01-01,98.16,95.31675511886164,1.999999988810867,0.9,-196.3199989016747,-134.18021056424695,2.0,0.575,-196.32,1.1410105263158243
14,2024-01-01,98.17,100.72611287571347,0.0,0.9,-0.0,-134.18021056424695,1.3684210526315792,0.9,-134.33789473684214,-133.19688421052632
15,2024-01-01,105.54,103.64758296337952,0.0,0.9,-0.0,-134.18021056424695,0.0,0.9,-0.0,-133.19688421052632
16,2024-01-01,110.0,112.72971600447681,0.0,0.9,-0.0,-134.18021056424695,0.0,0.9,-0.0,-133.19688421052632
17,2024-01-01,120.04,112.47376256146927,0.0,0.9,-0.0,-134.18021056424695,0.0,0.9,-0.0,-133.19688421052632
18,2024-01-01,131.5,126.16889134237672,0.0,0.9,-0.0,-134.18021056424695,-2.0,0.37368421052631584,263.0,129.80311578947368
19,2024-01-01,132.0,133.63474483140507,-2.0,0.37368421052631584,264.0,129.81978943575305,-1.0400000000000003,0.1,137.28000000000003,267.0831157894737
20,2024-01-01,127.75,138.42782108596163,-1.0400000000000003,0.1,132.86000000000004,262.6797894357531,0.0,0.1,-0.0,267.0831157894737
21,2024-01-01,113.48,111.0295402178726,0.0,0.1,-0.0,262.6797894357531,0.0,0.1,-0.0,267.0831157894737
