Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-2.0,0.09999999999999998,162.7768,162.7768,-1.84,0.09999999999999998,162.7768,162.7768
1,2024-01-01,104.0,104.0,-1.8022280945155489,0.09999999999999998,-0.0,162.7768,-1.82,0.09999999999999998,-0.0,162.7768
2,2024-01-01,100.0,100.0,-2.0,0.09999999999999998,-0.0,162.7768,-1.84,0.09999999999999998,-0.0,162.7768
3,2024-01-01,85.66,85.66,2.0,0.575,-171.32,-8.543199999999985,-1.84,0.09999999999999998,-0.0,162.7768
4,2024-01-01,85.0,85.0,1.9943744536343597,0.9,-116.31578947368423,-124.85898947368422,-0.76,0.09999999999999998,-0.0,162.7768
5,2024-01-01,85.53,85.53,2.0,0.9,-0.0,-124.85898947368422,-1.48,0.09999999999999998,-0.0,162.7768
6,2024-01-01,95.07,95.07,2.0,0.9,-0.0,-124.85898947368422,-0.9199999999999999,0.09999999999999998,-0.0,162.7768
7,2024-01-01,104.07,104.07,0.45405637533177234,0.9,-0.0,-124.85898947368422,-1.48,0.09999999999999998,-0.0,162.7768
8,2024-01-01,106.95,106.95,2.0,0.9,-0.0,-124.85898947368422,-1.48,0.09999999999999998,-0.0,162.7768
9,2024-01-01,107.08,107.08,-2.0,0.37368421052631584,214.16,89.30101052631578,-0.9199999999999999,0.09999999999999998,-0.0,162.7768
10,2024-01-01,104.0,104.0,-1.682114198415192,0.09999999999999998,108.16000000000003,197.46101052631582,-0.9199999999999999,0.09999999999999998,-0.0,162.7768
11,2024-01-01,98.13,98.13,2.0,0.575,-196.26,1.2010105263158266,-1.7,0.09999999999999998,-0.0,162.7768
12,2024-01-01,101.55,101.55,0.005486876395012378,0.575,-0.0,1.2010105263158266,2.0,0.575,-203.1,-40.323199999999986
13,2024-01-01,98.16,98.16,2.0,0.9,-134.32421052631582,-133.1232,0.26000000000000023,0.63675,-25.52160000000002,-65.8448
14,2024-01-01,98.17,98.17,2.0,0.9,-0.0,-133.1232,0.26000000000000023,0.6985000000000001,-25.52420000000002,-91.36900000000003
15,2024-01-01,105.54,105.54,0.7996396553929642,0.9,-0.0,-133.1232,0.26000000000000023,0.7602500000000002,-27.440400000000025,-118.80940000000005
16,2024-01-01,110.0,110.0,2.0,0.9,-0.0,-133.1232,-1.8,0.2865657894736844,198.0,79.19059999999995
17,2024-01-01,120.04,120.04,0.42816105810875166,0.9,-0.0,-133.1232,-1.46,0.1,85.10235800000008,164.29295800000003
18,2024-01-01,131.5,131.5,-2.0,0.37368421052631584,263.0,129.8768,-0.76,0.1,-0.0,164.29295800000003
19,2024-01-01,132.0,132.0,-2.0,0.09999999999999998,137.28000000000003,267.15680000000003,-0.76,0.1,-0.0,164.29295800000003
20,2024-01-01,127.75,127.75,-2.0,0.09999999999999998,-0.0,267.15680000000003,-0.78,0.1,-0.0,164.29295800000003
21,2024-01-01,113.48,113.48,-0.6270775767639524,0.09999999999999998,-0.0,267.15680000000003,-1.84,0.1,-0.0,164.29295800000003
22,2024-01-01,109.18,109.18,-2.0,0.09999999999999998,-0.0,267.15680000000003,-1.84,0.1,-0.0,164.29295800000003
23,2024-01-01,107.2,107.2,-2.0,0.09999999999999998,-0.0,267.15680000000003,-0.9199999999999999,0.1,-0.0,164.29295800000003
24,2024-01-02,105.49,105.49,-2.0,0.09999999999999998,-0.0,267.15680000000003,-1.82,0.1,-0.0,164.29295800000003
