Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-2.0,0.09999999999999998,162.7768,162.7768,-1.58,0.09999999999999998,162.7768,162.7768
1,2024-01-01,104.0,104.0,-2.0,0.09999999999999998,-0.0,162.7768,-1.06,0.09999999999999998,-0.0,162.7768
2,2024-01-01,100.0,100.0,-2.0,0.09999999999999998,-0.0,162.7768,1.3000000000000003,0.40875,-130.00000000000003,32.77679999999998
3,2024-01-01,85.66,85.66,-0.9867257217922295,0.09999999999999998,-0.0,162.7768,1.88,0.85525,-161.0408,-128.264
4,2024-01-01,85.0,85.0,2.0,0.575,-170.0,-7.223199999999991,1.7200000000000002,0.9,-16.015789473684237,-144.27978947368425
5,2024-01-01,85.53,85.53,2.0,0.9,-117.04105263157896,-124.26425263157896,1.7200000000000002,0.9,-0.0,-144.27978947368425
6,2024-01-01,95.07,95.07,2.0,0.9,-0.0,-124.26425263157896,1.7200000000000002,0.9,-0.0,-144.27978947368425
7,2024-01-01,104.07,104.07,0.4764121207590345,0.9,-0.0,-124.26425263157896,1.7800000000000002,0.9,-0.0,-144.27978947368425
8,2024-01-01,106.95,106.95,-1.2000005762485233,0.5842103746714413,128.34006162977957,4.075808998200614,-1.72,0.4473684210526316,183.954,39.67421052631576
9,2024-01-01,107.08,107.08,-2.0,0.09999999999999998,197.02713829530816,201.10294729350878,-1.72,0.10000000000000003,141.3456,181.01981052631575
10,2024-01-01,104.0,104.0,-1.9996714035967864,0.09999999999999998,-0.0,201.10294729350878,-1.3399999999999999,0.10000000000000003,-0.0,181.01981052631575
11,2024-01-01,98.13,98.13,2.0,0.575,-196.26,4.842947293508786,-0.43999999999999995,0.10000000000000003,-0.0,181.01981052631575
12,2024-01-01,101.55,101.55,-0.0034001364943660765,0.575,-0.0,4.842947293508786,1.88,0.5465,-190.914,-9.894189473684236
13,2024-01-01,98.16,98.16,2.0,0.9,-134.32421052631582,-129.48126323280704,0.98,0.77925,-96.1968,-106.09098947368423
14,2024-01-01,98.17,98.17,2.0,0.9,-0.0,-129.48126323280704,1.7800000000000002,0.9,-49.91169473684212,-156.00268421052635
15,2024-01-01,105.54,105.54,1.217445066283862,0.9,-0.0,-129.48126323280704,1.7800000000000002,0.9,-0.0,-156.00268421052635
16,2024-01-01,110.0,110.0,1.6173556610183535,0.9,-0.0,-129.48126323280704,1.88,0.9,-0.0,-156.00268421052635
17,2024-01-01,120.04,120.04,0.49317777216431025,0.9,-0.0,-129.48126323280704,-1.06,0.6210526315789473,127.24240000000002,-28.760284210526336
18,2024-01-01,131.5,131.5,-1.2000000328768634,0.5842105176639834,157.80000432330755,28.31874109050051,-0.9199999999999999,0.3789473684210526,120.97999999999999,92.21971578947365
19,2024-01-01,132.0,132.0,-2.0,0.09999999999999992,242.87999566025405,271.19873675075456,-1.2,0.09999999999999998,139.92,232.13971578947366
20,2024-01-01,127.75,127.75,-1.8771658592561464,0.09999999999999992,-0.0,271.19873675075456,-1.2,0.09999999999999998,-0.0,232.13971578947366
21,2024-01-01,113.48,113.48,-2.0,0.09999999999999992,-0.0,271.19873675075456,-1.66,0.09999999999999998,-0.0,232.13971578947366
22,2024-01-01,109.18,109.18,-2.0,0.09999999999999992,-0.0,271.19873675075456,-1.58,0.09999999999999998,-0.0,232.13971578947366
23,2024-01-01,107.2,107.2,-2.0,0.09999999999999992,-0.0,271.19873675075456,-1.22,0.09999999999999998,-0.0,232.13971578947366
24,2024-01-02,105.49,105.49,-1.9599921508855,0.09999999999999992,-0.0,271.19873675075456,-1.58,0.09999999999999998,-0.0,232.13971578947366
25,2024-01-02,90.09,90.09,-2.0,0.09999999999999992,-0.0,271.19873675075456,-0.8799999999999999,0.09999999999999998,-0.0,232.13971578947366
26,2024-01-02,84.27,84.27,2.0,0.575,-168.54,102.65873675075457,1.58,0.47524999999999995,-133.1466,98.99311578947365
27,2024-01-02,84.27,84.27,2.0,0.9,-115.31684210526318,-12.658105354508606,1.7200000000000002,0.88375,-144.9444,-45.95128421052635
28,2024-01-02,84.27,84.27,1.9824695930607386,0.9,-0.0,-12.658105354508606,1.3200000000000003,0.9,-5.765842105263153,-51.71712631578951
29,2024-01-02,100.0,100.0,0.6174337708011154,0.9,-0.0,-12.658105354508606,-0.56,0.7526315789473684,56.00000000000001,4.2828736842105
30,2024-01-02,108.28,108.28,1.2164031363768866,0.9,-0.0,-12.658105354508606,1.88,0.9,-67.18759002770084,-62.904716343490335
31,2024-01-02,113.85,113.85,0.527051616366004,0.9,-0.0,-12.658105354508606,-1.06,0.6210526315789473,120.681,57.77628365650966
32,2024-01-02,126.9,126.9,2.0,0.9,-0.0,-12.658105354508606,-1.7,0.17368421052631572,215.73000000000002,273.5062836565097
33,2024-01-02,119.5,119.5,-2.0,0.37368421052631584,239.0,226.34189464549138,-1.66,0.1,33.459999999999965,306.9662836565097
34,2024-01-02,110.6,110.6,-2.0,0.09999999999999998,115.02400000000003,341.3658946454914,-1.66,0.1,-0.0,306.9662836565097
35,2024-01-02,108.28,108.28,-1.964326044985927,0.09999999999999998,-0.0,341.3658946454914,-1.8599999999999999,0.1,-0.0,306.9662836565097
36,2024-01-02,105.88,105.88,1.3684210526315836,0.4250000000000011,-144.88842105263208,196.4774735928593,1.88,0.5465,-199.0544,107.9118836565097
37,2024-01-02,100.15,100.15,2.0,0.9,-200.29999999999956,-3.822526407140259,0.08000000000000007,0.5655,-8.012000000000008,99.8998836565097
38,2024-01-02,108.28,108.28,2.0,0.9,-0.0,-3.822526407140259,0.16000000000000014,0.6035,-17.324800000000014,82.57508365650969
39,2024-01-02,110.0,110.0,2.0,0.9,-0.0,-3.822526407140259,0.3599999999999999,0.6890000000000001,-39.59999999999999,42.9750836565097
40,2024-01-02,112.8,112.8,2.0,0.9,-0.0,-3.822526407140259,-1.46,0.30478947368421055,164.688,207.66308365650968
41,2024-01-02,129.99,129.99,-2.0,0.37368421052631584,259.98,256.1574735928598,-0.9199999999999999,0.1,101.158218,308.8213016565097
42,2024-01-02,130.0,130.0,-2.0,0.09999999999999998,135.20000000000005,391.35747359285983,-1.66,0.1,-0.0,308.8213016565097
43,2024-01-02,124.29,124.29,-2.0,0.09999999999999998,-0.0,391.35747359285983,-1.66,0.1,-0.0,308.8213016565097
44,2024-01-02,111.26,111.26,-1.6268875881825395,0.09999999999999998,-0.0,391.35747359285983,-1.58,0.1,-0.0,308.8213016565097
45,2024-01-02,108.28,108.28,-0.5986381806715237,0.09999999999999998,-0.0,391.35747359285983,-1.58,0.1,-0.0,308.8213016565097
46,2024-01-02,106.0,106.0,-1.6285732460454863,0.09999999999999998,-0.0,391.35747359285983,-1.58,0.1,-0.0,308.8213016565097
47,2024-01-02,92.41,92.41,-1.6458663851678466,0.09999999999999998,-0.0,391.35747359285983,-1.58,0.1,-0.0,308.8213016565097
48,2024-01-03,82.5,82.5,-2.0,0.09999999999999998,-0.0,391.35747359285983,-1.66,0.1,-0.0,308.8213016565097
49,2024-01-03,70.1,70.1,-1.989356680581823,0.09999999999999998,-0.0,391.35747359285983,-0.78,0.1,-0.0,308.8213016565097
50,2024-01-03,50.21346,50.21346,-1.6690518132670698,0.09999999999999998,-0.0,391.35747359285983,1.7200000000000002,0.5085000000000001,-86.36715120000001,222.4541504565097
51,2024-01-03,40.0,40.0,2.0,0.575,-80.0,311.35747359285983,1.7200000000000002,0.9,-65.93684210526315,156.51730835124653
52,2024-01-03,50.0,50.0,2.0,0.9,-68.42105263157896,242.93642096128087,1.7200000000000002,0.9,-0.0,156.51730835124653
53,2024-01-03,75.0,75.0,0.4846487927921166,0.9,-0.0,242.93642096128087,1.7200000000000002,0.9,-0.0,156.51730835124653
54,2024-01-03,95.46,95.46,2.0,0.9,-0.0,242.93642096128087,1.7200000000000002,0.9,-0.0,156.51730835124653
55,2024-01-03,108.28,108.28,1.7824151755033053,0.9,-0.0,242.93642096128087,-0.56,0.7526315789473684,60.63680000000001,217.15410835124652
56,2024-01-03,114.99561,114.99561,-2.0,0.37368421052631584,229.99122,472.9276409612809,-0.56,0.6052631578947368,64.39754160000001,281.55164995124653
57,2024-01-03,113.34489,113.34489,-2.0,0.09999999999999998,117.87868560000004,590.8063265612809,-1.12,0.31052631578947365,126.94627680000002,408.49792675124655
58,2024-01-03,107.85233,107.85233,-0.46669540801542836,0.09999999999999998,-0.0,590.8063265612809,-0.56,0.16315789473684206,60.3973048,468.8952315512465
59,2024-01-03,105.0,105.0,-2.0,0.09999999999999998,-0.0,590.8063265612809,-0.56,0.1,25.199999999999978,494.0952315512465
60,2024-01-03,92.04644,92.04644,-2.0,0.09999999999999998,-0.0,590.8063265612809,1.4,0.4325,-128.865016,365.2302155512465
61,2024-01-03,91.59366,91.59366,2.0,0.575,-183.18732,407.6190065612809,0.08000000000000007,0.4515,-7.327492800000006,357.9027227512465
62,2024-01-03,97.50897,97.50897,2.0,0.9,-133.4333273684211,274.1856791928598,0.16000000000000014,0.48950000000000005,-15.601435200000015,342.30128755124645
63,2024-01-03,106.02775,106.02775,2.0,0.9,-0.0,274.1856791928598,1.88,0.9,-183.26059526315788,159.04069228808856
64,2024-01-03,109.7411,109.7411,1.0923468278995452,0.9,-0.0,274.1856791928598,1.7800000000000002,0.9,-0.0,159.04069228808856
65,2024-01-03,115.81,115.81,-1.9872249373849522,0.3770460691092231,230.14051999855133,504.32619919141115,0.6400000000000001,0.9,-0.0,159.04069228808856
66,2024-01-03,115.81,115.81,-2.0,0.09999999999999998,121.92188000144868,626.2480791928598,-1.7,0.45263157894736844,196.877,355.9176922880886
67,2024-01-03,115.81,115.81,-2.0,0.09999999999999998,-0.0,626.2480791928598,-1.88,0.10000000000000003,155.1854,511.10309228808853
68,2024-01-03,109.0,109.0,-2.0,0.09999999999999998,-0.0,626.2480791928598,-1.08,0.10000000000000003,-0.0,511.10309228808853
69,2024-01-03,106.0,106.0,-2.0,0.09999999999999998,-0.0,626.2480791928598,-0.56,0.10000000000000003,-0.0,511.10309228808853
70,2024-01-03,101.46,101.46,-2.0,0.09999999999999998,-0.0,626.2480791928598,-1.66,0.10000000000000003,-0.0,511.10309228808853
71,2024-01-03,82.59,82.59,-2.0,0.09999999999999998,-0.0,626.2480791928598,-1.58,0.10000000000000003,-0.0,511.10309228808853
72,2024-01-04,74.19,74.19,-2.0,0.09999999999999998,-0.0,626.2480791928598,-1.7,0.10000000000000003,-0.0,511.10309228808853
73,2024-01-04,65.0,65.0,-0.21780337737698122,0.09999999999999998,-0.0,626.2480791928598,-1.66,0.10000000000000003,-0.0,511.10309228808853
