Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-2.0,0.09999999999999998,162.7768,162.7768,-1.98,0.09999999999999998,162.7768,162.7768
1,2024-01-01,104.0,104.0,-1.1995545963532546,0.09999999999999998,-0.0,162.7768,-1.12,0.09999999999999998,-0.0,162.7768
2,2024-01-01,100.0,100.0,-2.0,0.09999999999999998,-0.0,162.7768,-1.46,0.09999999999999998,-0.0,162.7768
3,2024-01-01,85.66,85.66,-0.7881045366753101,0.09999999999999998,-0.0,162.7768,0.06000000000000005,0.11424999999999999,-5.139600000000004,157.6372
4,2024-01-01,85.0,85.0,-2.0,0.09999999999999998,-0.0,162.7768,1.88,0.56075,-159.79999999999998,-2.162799999999976
5,2024-01-01,85.53,85.53,2.0,0.575,-171.06,-8.283199999999994,1.92,0.9,-122.17285263157898,-124.33565263157895
6,2024-01-01,95.07,95.07,2.0,0.9,-130.09578947368422,-138.37898947368421,0.14000000000000012,0.9,-0.0,-124.33565263157895
7,2024-01-01,104.07,104.07,1.3305762779524433,0.9,-0.0,-138.37898947368421,-1.66,0.4631578947368421,172.75619999999998,48.420547368421026
8,2024-01-01,106.95,106.95,0.695427976068073,0.9,-0.0,-138.37898947368421,-1.8,0.09999999999999992,147.591,196.01154736842102
9,2024-01-01,107.08,107.08,2.0,0.9,-0.0,-138.37898947368421,-1.0,0.09999999999999992,-0.0,196.01154736842102
10,2024-01-01,104.0,104.0,-2.0,0.37368421052631584,208.0,69.62101052631579,-1.66,0.09999999999999992,-0.0,196.01154736842102
11,2024-01-01,98.13,98.13,2.0,0.8486842105263158,-196.26,-126.6389894736842,-0.30000000000000004,0.09999999999999992,-0.0,196.01154736842102
12,2024-01-01,101.55,101.55,-0.002193635959880359,0.8486842105263158,-0.0,-126.6389894736842,-1.2999999999999998,0.09999999999999992,-0.0,196.01154736842102
13,2024-01-01,98.16,98.16,2.0,0.9,-21.209085872576175,-147.84807534626037,-1.62,0.09999999999999992,-0.0,196.01154736842102
14,2024-01-01,98.17,98.17,1.9999860943739192,0.9,-0.0,-147.84807534626037,-1.66,0.09999999999999992,-0.0,196.01154736842102
15,2024-01-01,105.54,105.54,2.0,0.9,-0.0,-147.84807534626037,-1.06,0.09999999999999992,-0.0,196.01154736842102
16,2024-01-01,110.0,110.0,1.1199603721875735,0.9,-0.0,-147.84807534626037,-1.66,0.09999999999999992,-0.0,196.01154736842102
17,2024-01-01,120.04,120.04,2.0,0.9,-0.0,-147.84807534626037,-1.54,0.09999999999999992,-0.0,196.01154736842102
18,2024-01-01,131.5,131.5,-1.2000006467163402,0.5842103561272789,157.80008504319875,9.952009696938376,-1.98,0.09999999999999992,-0.0,196.01154736842102
19,2024-01-01,132.0,132.0,-2.0,0.09999999999999998,242.8799146334431,252.83192433038147,-1.54,0.09999999999999992,-0.0,196.01154736842102
20,2024-01-01,127.75,127.75,-1.931114337822537,0.09999999999999998,-0.0,252.83192433038147,-1.88,0.09999999999999992,-0.0,196.01154736842102
21,2024-01-01,113.48,113.48,-0.23208758623569617,0.09999999999999998,-0.0,252.83192433038147,-1.9,0.09999999999999992,-0.0,196.01154736842102
22,2024-01-01,109.18,109.18,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.52,0.09999999999999992,-0.0,196.01154736842102
23,2024-01-01,107.2,107.2,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.96,0.09999999999999992,-0.0,196.01154736842102
24,2024-01-02,105.49,105.49,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.38,0.09999999999999992,-0.0,196.01154736842102
25,2024-01-02,90.09,90.09,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.68,0.09999999999999992,-0.0,196.01154736842102
26,2024-01-02,84.27,84.27,2.0,0.575,-168.54,84.29192433038148,-0.8,0.09999999999999992,-0.0,196.01154736842102
