Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,108.74634021123656,-2.0,0.09999999999999998,162.7768,162.7768,-2.0,0.09999999999999998,162.7768,162.7768
1,2024-01-01,104.0,111.42430138172853,-1.0866504151875467,0.09999999999999998,-0.0,162.7768,-2.0,0.09999999999999998,-0.0,162.7768
2,2024-01-01,100.0,101.82960750597059,-2.0,0.09999999999999998,-0.0,162.7768,-1.6,0.09999999999999998,-0.0,162.7768
3,2024-01-01,85.66,89.16704938463432,-1.0397097562622533,0.09999999999999998,-0.0,162.7768,1.6,0.48,-137.056,25.720799999999997
4,2024-01-01,85.0,86.41031891136143,2.0,0.575,-170.0,-7.223199999999991,1.2000000000000002,0.765,-102.00000000000001,-76.27920000000002
5,2024-01-01,85.53,85.31809596909967,2.0,0.9,-117.04105263157896,-124.26425263157896,1.2000000000000002,0.9,-48.61705263157896,-124.89625263157897
6,2024-01-01,95.07,91.65790999727855,2.0,0.9,-0.0,-124.26425263157896,1.2000000000000002,0.9,-0.0,-124.89625263157897
7,2024-01-01,104.07,111.17143188763471,2.0,0.9,-0.0,-124.26425263157896,1.2000000000000002,0.9,-0.0,-124.89625263157897
8,2024-01-01,106.95,113.75724568455237,-2.0,0.37368421052631584,213.9,89.63574736842105,-2.0,0.37368421052631584,213.9,89.00374736842103
9,2024-01-01,107.08,114.09325777993487,-2.0,0.09999999999999998,111.36320000000002,200.99894736842106,-2.0,0.09999999999999998,111.36320000000002,200.36694736842105
10,2024-01-01,104.0,96.00944881437816,2.0,0.575,-208.0,-7.001052631578943,-2.0,0.09999999999999998,-0.0,200.36694736842105
11,2024-01-01,98.13,102.26116999764815,-0.007239282322218651,0.575,-0.0,-7.001052631578943,-1.6,0.09999999999999998,-0.0,200.36694736842105
12,2024-01-01,101.55,93.77927371096048,2.0,0.9,-138.96315789473687,-145.9642105263158,-1.6,0.09999999999999998,-0.0,200.36694736842105
13,2024-01-01,98.16,98.29933362903814,2.0,0.9,-0.0,-145.9642105263158,-1.6,0.09999999999999998,-0.0,200.36694736842105
14,2024-01-01,98.17,92.13653416041566,1.2006849920612868,0.9,-0.0,-145.9642105263158,1.6,0.48,-157.072,43.29494736842105
15,2024-01-01,105.54,98.50532214265932,0.5923513805975039,0.9,-0.0,-145.9642105263158,1.2000000000000002,0.765,-126.64800000000002,-83.35305263157898
16,2024-01-01,110.0,114.42750224712366,2.0,0.9,-0.0,-145.9642105263158,1.2000000000000002,0.9,-62.52631578947369,-145.87936842105267
17,2024-01-01,120.04,125.8436409189109,2.0,0.9,-0.0,-145.9642105263158,1.2000000000000002,0.9,-0.0,-145.87936842105267
18,2024-01-01,131.5,123.08217627375353,-1.200000008618079,0.5842105240478739,157.8000011332774,11.83579060696158,-2.0,0.37368421052631584,263.0,117.12063157894733
19,2024-01-01,132.0,134.1437617133323,-2.0,0.09999999999999998,242.87999886241354,254.71578946937512,-2.0,0.09999999999999998,137.28000000000003,254.40063157894735
20,2024-01-01,127.75,131.5061667639164,-1.9999993298736032,0.09999999999999998,-0.0,254.71578946937512,-2.0,0.09999999999999998,-0.0,254.40063157894735
21,2024-01-01,113.48,106.16938210108599,2.0,0.575,-226.96,27.755789469375117,-2.0,0.09999999999999998,-0.0,254.40063157894735
22,2024-01-01,109.18,102.21113822816886,-2.0,0.09999999999999992,197.06990000000002,224.82568946937513,-2.0,0.09999999999999998,-0.0,254.40063157894735
23,2024-01-01,107.2,115.3644813303272,-1.4730050446740794,0.09999999999999992,-0.0,224.82568946937513,-2.0,0.09999999999999998,-0.0,254.40063157894735
24,2024-01-02,105.49,112.39824667458561,-0.9846919446580864,0.09999999999999992,-0.0,224.82568946937513,-2.0,0.09999999999999998,-0.0,254.40063157894735
25,2024-01-02,90.09,90.98457196168977,-2.0,0.09999999999999992,-0.0,224.82568946937513,-1.6,0.09999999999999998,-0.0,254.40063157894735
26,2024-01-02,84.27,80.57978391320903,2.0,0.575,-168.54,56.28568946937514,1.6,0.48,-134.832,119.56863157894736
27,2024-01-02,84.27,90.7890285094151,-0.5999999285411143,0.4171052819628646,50.5619939781597,106.84768344753485,1.2000000000000002,0.765,-101.12400000000001,18.44463157894735
28,2024-01-02,84.27,88.64740751892522,2.0,0.8921052819628645,-168.54,-61.692316552465144,1.2000000000000002,0.9,-47.900842105263166,-29.456210526315814
29,2024-01-02,100.0,99.84609456950871,2.0,0.9,-3.3240918051096773,-65.01640835757482,1.2000000000000002,0.9,-0.0,-29.456210526315814
30,2024-01-02,108.28,109.68021282457896,2.0,0.9,-0.0,-65.01640835757482,1.2000000000000002,0.9,-0.0,-29.456210526315814
31,2024-01-02,113.85,112.45435886039597,1.688202679324864,0.9,-0.0,-65.01640835757482,1.2000000000000002,0.9,-0.0,-29.456210526315814
32,2024-01-02,126.9,121.49649379622713,-2.0,0.37368421052631584,253.8,188.7835916424252,-2.0,0.37368421052631584,253.8,224.34378947368418
33,2024-01-02,119.5,115.37255749779379,-1.3861096414226115,0.09999999999999998,124.28000000000003,313.0635916424252,-2.0,0.09999999999999998,124.28000000000003,348.6237894736842
34,2024-01-02,110.6,116.1038889802561,-2.0,0.09999999999999998,-0.0,313.0635916424252,-2.0,0.09999999999999998,-0.0,348.6237894736842
35,2024-01-02,108.28,99.66506538295555,2.0,0.575,-216.56,96.50359164242519,-2.0,0.09999999999999998,-0.0,348.6237894736842
36,2024-01-02,105.88,98.84588637284651,2.0,0.9,-144.8884210526316,-48.38482941020641,-1.6,0.09999999999999998,-0.0,348.6237894736842
37,2024-01-02,100.15,93.65528550623318,2.0,0.9,-0.0,-48.38482941020641,-1.6,0.09999999999999998,-0.0,348.6237894736842
38,2024-01-02,108.28,104.63901831286378,0.016600924017017814,0.9,-0.0,-48.38482941020641,-1.6,0.09999999999999998,-0.0,348.6237894736842
39,2024-01-02,110.0,110.13965854338326,2.0,0.9,-0.0,-48.38482941020641,-1.6,0.09999999999999998,-0.0,348.6237894736842
40,2024-01-02,112.8,118.5792645708132,2.0,0.9,-0.0,-48.38482941020641,-1.6,0.09999999999999998,-0.0,348.6237894736842
41,2024-01-02,129.99,124.20494005121003,-2.0,0.37368421052631584,259.98,211.5951705897936,-2.0,0.09999999999999998,-0.0,348.6237894736842
42,2024-01-02,130.0,140.00228586158332,-2.0,0.09999999999999998,135.20000000000005,346.79517058979366,-1.6,0.09999999999999998,-0.0,348.6237894736842
43,2024-01-02,124.29,122.24429809404018,-2.0,0.09999999999999998,-0.0,346.79517058979366,-1.6,0.09999999999999998,-0.0,348.6237894736842
