time;P;G(i);H_sun;T2m;WS10m;Int
20200519:2210;0.0;0.0;0.0;15.02;1.45;0.0
20200519:2310;0.0;0.0;0.0;14.48;1.31;0.0
20200520:0010;0.0;0.0;0.0;14.01;1.24;0.0
20200520:0110;0.0;0.0;0.0;13.46;1.31;0.0
20200520:0210;0.0;0.0;0.0;12.78;1.31;0.0
20200520:0310;0.0;0.0;0.0;12.05;1.45;0.0
20200520:0410;0.0;0.0;0.0;11.48;1.38;0.0
20200520:0510;28.0;47.96;11.75;12.61;1.1;0.0
20200520:0610;125.57;170.68;22.18;15.95;0.83;0.0
20200520:0710;356.9;460.46;32.82;18.54;0.69;0.0
20200520:0810;533.55;686.55;43.31;19.92;0.9;0.0
20200520:0910;570.94;742.32;53.08;21.3;1.17;0.0
20200520:1010;701.72;933.37;61.04;22.63;1.52;0.0
20200520:1110;778.11;1054.78;65.12;23.69;1.59;0.0
20200520:1210;764.94;1042.69;63.38;24.41;1.38;0.0
20200520:1310;701.8;944.71;56.75;24.85;1.38;0.0
20200520:1410;585.97;773.36;47.55;24.84;1.31;0.0
20200520:1510;427.06;560.17;37.28;24.89;1.1;0.0
20200520:1610;236.54;332.19;26.65;24.76;0.97;0.0
20200520:1710;53.9;111.08;16.09;24.19;1.1;0.0
20200520:1810;13.72;29.98;5.93;22.69;1.24;0.0
20200520:1910;0.0;0.0;0.0;22.47;0.97;0.0
20200520:2010;0.0;0.0;0.0;19.47;1.45;0.0
20200520:2110;0.0;0.0;0.0;17.46;1.79;0.0
20200520:2210;0.0;0.0;0.0;16.43;1.66;0.0
20200520:2310;0.0;0.0;0.0;15.57;1.59;0.0

