time;P
20230101:0010;0.0
20230101:0110;0.0
20230101:0210;0.0
20230101:0310;0.0
20230101:0410;0.0
20230101:0510;0.0
20230101:0610;0.0
20230101:0710;0.0
20230101:0810;1594.6000000000001
20230101:0910;779.5999999999999
20230101:1010;3240.8999999999996
20230101:1110;1412.0
20230101:1210;2471.6
20230101:1310;554.4
20230101:1410;494.20000000000005
20230101:1510;108.6
20230101:1610;0.0
20230101:1710;0.0
20230101:1810;0.0
20230101:1910;0.0
20230101:2010;0.0
20230101:2110;0.0
20230101:2210;0.0
20230101:2310;0.0
20230102:0010;0.0
20230102:0110;0.0
