time;P;G(i);H_sun;T2m;WS10m;Int
20200519:2210;0.0;0.0;0.0;15.02;1.45;0.0
20200519:2310;0.0;0.0;0.0;14.48;1.31;0.0
20200520:0010;0.0;0.0;0.0;14.01;1.24;0.0
20200520:0110;0.0;0.0;0.0;13.46;1.31;0.0
20200520:0210;0.0;0.0;0.0;12.78;1.31;0.0
20200520:0310;0.0;0.0;0.0;12.05;1.45;0.0
20200520:0410;0.0;0.0;0.0;11.48;1.38;0.0
20200520:0510;28.0;47.96;11.75;12.61;1.1;0.0
20200520:0610;125.57;170.68;22.18;15.95;0.83;0.0
20200520:0710;356.9;460.46;32.82;18.54;0.69;0.0
20200520:0810;533.55;686.55;43.31;19.92;0.9;0.0
20200520:0910;570.94;742.32;53.08;21.3;1.17;0.0
20200520:1010;701.72;933.37;61.04;22.63;1.52;0.0
20200520:1110;778.11;1054.78;65.12;23.69;1.59;0.0
20200520:1210;764.94;1042.69;63.38;24.41;1.38;0.0
20200520:1310;701.8;944.71;56.75;24.85;1.38;0.0
20200520:1410;585.97;773.36;47.55;24.84;1.31;0.0
20200520:1510;427.06;560.17;37.28;24.89;1.1;0.0
20200520:1610;236.54;332.19;26.65;24.76;0.97;0.0
20200520:1710;53.9;111.08;16.09;24.19;1.1;0.0
20200520:1810;13.72;29.98;5.93;22.69;1.24;0.0
20200520:1910;0.0;0.0;0.0;22.47;0.97;0.0
20200520:2010;0.0;0.0;0.0;19.47;1.45;0.0
20200520:2110;0.0;0.0;0.0;17.46;1.79;0.0
20200520:2210;0.0;0.0;0.0;16.43;1.66;0.0
20200520:2310;0.0;0.0;0.0;15.57;1.59;0.0
20200521:0010;0.0;0.0;0.0;15.04;1.38;0.0
20200521:0110;0.0;0.0;0.0;15.24;0.97;0.0
20200521:0210;0.0;0.0;0.0;15.93;0.28;0.0
20200521:0310;0.0;0.0;0.0;14.12;1.1;0.0
20200521:0410;0.0;0.0;0.0;13.68;1.1;0.0
20200521:0510;46.19;71.09;11.89;14.02;1.03;0.0
20200521:0610;158.24;229.06;22.31;16.01;1.03;0.0
20200521:0710;340.39;435.21;32.95;18.66;1.52;0.0
20200521:0810;535.16;680.89;43.44;19.82;1.66;0.0
20200521:0910;660.32;862.65;53.23;21.11;1.45;0.0
20200521:1010;738.87;996.79;61.22;22.44;1.1;0.0
20200521:1110;764.27;1051.17;65.33;23.52;0.9;0.0
20200521:1210;744.53;1033.7;63.58;23.87;0.48;0.0
20200521:1310;682.99;937.15;56.92;24.48;0.41;0.0
20200521:1410;579.6;775.31;47.71;25.03;0.62;0.0
20200521:1510;426.38;559.66;37.42;25.02;1.1;0.0
20200521:1610;236.23;329.58;26.79;24.74;1.45;0.0
20200521:1710;54.38;112.06;16.24;23.94;1.66;0.0
20200521:1810;14.9;31.69;6.09;22.63;1.72;0.0
20200521:1910;0.0;0.0;0.0;21.36;1.38;0.0
20200521:2010;0.0;0.0;0.0;19.21;1.72;0.0
20200521:2110;0.0;0.0;0.0;17.63;1.79;0.0
20200521:2210;0.0;0.0;0.0;16.51;1.79;0.0
20200521:2310;0.0;0.0;0.0;15.8;1.93;0.0
