time;P
20230101:0010;0.0
20230101:0110;0.0
20230101:0210;0.0
20230101:0310;0.0
20230101:0410;0.0
20230101:0510;0.0
20230101:0610;0.0
20230101:0710;0.0
20230101:0810;1594.6000000000001
20230101:0910;779.5999999999999
20230101:1010;3240.8999999999996
20230101:1110;1412.0
20230101:1210;2471.6
20230101:1310;554.4
20230101:1410;494.20000000000005
20230101:1510;108.6
20230101:1610;0.0
20230101:1710;0.0
20230101:1810;0.0
20230101:1910;0.0
20230101:2010;0.0
20230101:2110;0.0
20230101:2210;0.0
20230101:2310;0.0
20230102:0010;0.0
20230102:0110;0.0
20230102:0210;0.0
20230102:0310;0.0
20230102:0410;0.0
20230102:0510;0.0
20230102:0610;0.0
20230102:0710;0.0
20230102:0810;34.0
20230102:0910;135.0
20230102:1010;524.9
20230102:1110;494.0
20230102:1210;508.6
20230102:1310;293.09999999999997
20230102:1410;264.5
20230102:1510;58.5
20230102:1610;0.0
20230102:1710;0.0
20230102:1810;0.0
20230102:1910;0.0
20230102:2010;0.0
20230102:2110;0.0
20230102:2210;0.0
20230102:2310;0.0
20230103:0010;0.0
20230103:0110;0.0
20230103:0210;0.0
20230103:0310;0.0
20230103:0410;0.0
20230103:0510;0.0
20230103:0610;0.0
20230103:0710;0.0
20230103:0810;135.1
20230103:0910;506.4
20230103:1010;1424.1
20230103:1110;409.09999999999997
20230103:1210;214.1
20230103:1310;320.09999999999997
20230103:1410;755.8
20230103:1510;143.5
20230103:1610;0.0
20230103:1710;0.0
20230103:1810;0.0
20230103:1910;0.0
20230103:2010;0.0
20230103:2110;0.0
20230103:2210;0.0
20230103:2310;0.0
20230104:0010;0.0
20230104:0110;0.0
20230104:0210;0.0
20230104:0310;0.0
20230104:0410;0.0
20230104:0510;0.0
20230104:0610;0.0
20230104:0710;0.0
20230104:0810;844.4
20230104:0910;1635.6
20230104:1010;3284.4
20230104:1110;5107.900000000001
20230104:1210;5194.9
20230104:1310;3496.6000000000004
20230104:1410;1735.0
20230104:1510;161.70000000000002
20230104:1610;0.0
20230104:1710;0.0
20230104:1810;0.0
20230104:1910;0.0
20230104:2010;0.0
