time;P
20230101:0010;0.0
20230101:0110;0.0
20230101:0210;0.0
20230101:0310;0.0
20230101:0410;0.0
20230101:0510;0.0
20230101:0610;0.0
20230101:0710;0.0
20230101:0810;159.46
20230101:0910;77.96
20230101:1010;324.09
20230101:1110;141.2
20230101:1210;247.16
20230101:1310;55.44
20230101:1410;49.42
20230101:1510;10.86
20230101:1610;0.0
20230101:1710;0.0
20230101:1810;0.0
20230101:1910;0.0
20230101:2010;0.0
20230101:2110;0.0
20230101:2210;0.0
20230101:2310;0.0
20230102:0010;0.0
20230102:0110;0.0
20230102:0210;0.0
20230102:0310;0.0
20230102:0410;0.0
20230102:0510;0.0
20230102:0610;0.0
20230102:0710;0.0
20230102:0810;3.4
20230102:0910;13.5
20230102:1010;52.49
20230102:1110;49.4
20230102:1210;50.86
20230102:1310;29.31
20230102:1410;26.45
20230102:1510;5.85
20230102:1610;0.0
20230102:1710;0.0
20230102:1810;0.0
20230102:1910;0.0
20230102:2010;0.0
20230102:2110;0.0
20230102:2210;0.0
20230102:2310;0.0
20230103:0010;0.0
20230103:0110;0.0
20230103:0210;0.0
20230103:0310;0.0
20230103:0410;0.0
20230103:0510;0.0
20230103:0610;0.0
20230103:0710;0.0
20230103:0810;13.51
20230103:0910;50.64
20230103:1010;142.41
20230103:1110;40.91
20230103:1210;21.41
20230103:1310;32.01
20230103:1410;75.58
20230103:1510;14.35
20230103:1610;0.0
20230103:1710;0.0
20230103:1810;0.0
20230103:1910;0.0
20230103:2010;0.0
20230103:2110;0.0
20230103:2210;0.0
20230103:2310;0.0
20230104:0010;0.0
20230104:0110;0.0
20230104:0210;0.0
20230104:0310;0.0
20230104:0410;0.0
20230104:0510;0.0
20230104:0610;0.0
20230104:0710;0.0
20230104:0810;84.44
20230104:0910;163.56
20230104:1010;328.44
20230104:1110;510.79
20230104:1210;519.49
20230104:1310;349.66
20230104:1410;173.5
20230104:1510;16.17
20230104:1610;0.0
20230104:1710;0.0
20230104:1810;0.0
20230104:1910;0.0
20230104:2010;0.0
20230104:2110;0.0
20230104:2210;0.0
20230104:2310;0.0
20230105:0010;0.0
