Data;Ora;P
01/01/2024;1;0
01/01/2024;2;0
01/01/2024;3;0
01/01/2024;4;0
01/01/2024;5;0
01/01/2024;6;0
01/01/2024;7;0
01/01/2024;8;1
01/01/2024;9;8
01/01/2024;10;22
01/01/2024;11;46
01/01/2024;12;48
01/01/2024;13;49
01/01/2024;14;84
01/01/2024;15;105
01/01/2024;16;55
01/01/2024;17;3
01/01/2024;18;1
01/01/2024;19;0
01/01/2024;20;0
01/01/2024;21;0
01/01/2024;22;0
01/01/2024;23;0
01/01/2024;24;0
02/01/2024;1;0
02/01/2024;2;0
02/01/2024;3;0
02/01/2024;4;0
02/01/2024;5;1
02/01/2024;6;0
02/01/2024;7;0
02/01/2024;8;0
02/01/2024;9;13
02/01/2024;10;41
02/01/2024;11;61
02/01/2024;12;79
02/01/2024;13;101
02/01/2024;14;52
02/01/2024;15;45
02/01/2024;16;12
02/01/2024;17;1
02/01/2024;18;0
02/01/2024;19;0
02/01/2024;20;1
02/01/2024;21;0
02/01/2024;22;0
02/01/2024;23;0
02/01/2024;24;0
03/01/2024;1;0
03/01/2024;2;0
03/01/2024;3;0
03/01/2024;4;0
03/01/2024;5;0
03/01/2024;6;0
03/01/2024;7;0
03/01/2024;8;0
03/01/2024;9;4
03/01/2024;10;39
03/01/2024;11;97
03/01/2024;12;147
03/01/2024;13;189
03/01/2024;14;141
03/01/2024;15;131
03/01/2024;16;35
03/01/2024;17;6
03/01/2024;18;1
03/01/2024;19;0
03/01/2024;20;0
03/01/2024;21;0
03/01/2024;22;0
03/01/2024;23;0
03/01/2024;24;0
04/01/2024;1;0
04/01/2024;2;0
04/01/2024;3;0
04/01/2024;4;0
04/01/2024;5;1
04/01/2024;6;0
04/01/2024;7;0
04/01/2024;8;0
04/01/2024;9;7
04/01/2024;10;20
04/01/2024;11;23
04/01/2024;12;39
04/01/2024;13;58
04/01/2024;14;97
04/01/2024;15;96
04/01/2024;16;68
04/01/2024;17;8
04/01/2024;18;1
04/01/2024;19;0
04/01/2024;20;0
04/01/2024;21;0
04/01/2024;22;0
04/01/2024;23;0
04/01/2024;24;0
05/01/2024;1;0
05/01/2024;2;0
05/01/2024;3;0
05/01/2024;4;0
05/01/2024;5;0
05/01/2024;6;0
05/01/2024;7;0
05/01/2024;8;1
05/01/2024;9;1
05/01/2024;10;13
05/01/2024;11;28
05/01/2024;12;34
05/01/2024;13;33
05/01/2024;14;28
05/01/2024;15;21
05/01/2024;16;17
05/01/2024;17;2
05/01/2024;18;0
05/01/2024;19;0
05/01/2024;20;0
05/01/2024;21;0
05/01/2024;22;0
05/01/2024;23;0
05/01/2024;24;0
06/01/2024;1;0
06/01/2024;2;1
06/01/2024;3;0
06/01/2024;4;0
06/01/2024;5;0
06/01/2024;6;0
06/01/2024;7;0
06/01/2024;8;0
06/01/2024;9;3
06/01/2024;10;22
06/01/2024;11;35
06/01/2024;12;50
06/01/2024;13;48
06/01/2024;14;36
06/01/2024;15;31
06/01/2024;16;12
06/01/2024;17;1
06/01/2024;18;1
06/01/2024;19;0
06/01/2024;20;0
06/01/2024;21;0
06/01/2024;22;0
06/01/2024;23;0
06/01/2024;24;0
07/01/2024;1;0
07/01/2024;2;0
07/01/2024;3;0
07/01/2024;4;0
07/01/2024;5;0
07/01/2024;6;0
07/01/2024;7;0
07/01/2024;8;1
07/01/2024;9;1
07/01/2024;10;1
07/01/2024;11;19
07/01/2024;12;36
07/01/2024;13;39
07/01/2024;14;62
07/01/2024;15;43
07/01/2024;16;23
07/01/2024;17;1
07/01/2024;18;1
07/01/2024;19;0
07/01/2024;20;0
07/01/2024;21;0
07/01/2024;22;0
07/01/2024;23;0
07/01/2024;24;0
08/01/2024;1;0
08/01/2024;2;0
08/01/2024;3;0
08/01/2024;4;1
08/01/2024;5;0
08/01/2024;6;0
08/01/2024;7;0
08/01/2024;8;0
08/01/2024;9;5
08/01/2024;10;9
08/01/2024;11;29
08/01/2024;12;49
08/01/2024;13;49
08/01/2024;14;34
08/01/2024;15;19
08/01/2024;16;10
08/01/2024;17;2
08/01/2024;18;0
08/01/2024;19;0
08/01/2024;20;0
08/01/2024;21;0
08/01/2024;22;0
08/01/2024;23;0
08/01/2024;24;0
09/01/2024;1;0
09/01/2024;2;0
09/01/2024;3;1
09/01/2024;4;0
09/01/2024;5;0
09/01/2024;6;0
09/01/2024;7;0
09/01/2024;8;0
09/01/2024;9;1
09/01/2024;10;4
09/01/2024;11;6
09/01/2024;12;17
09/01/2024;13;30
09/01/2024;14;39
09/01/2024;15;17
09/01/2024;16;10
09/01/2024;17;2
09/01/2024;18;0
09/01/2024;19;0
09/01/2024;20;0
09/01/2024;21;0
09/01/2024;22;0
09/01/2024;23;1
09/01/2024;24;0
10/01/2024;1;0
10/01/2024;2;0
10/01/2024;3;0
10/01/2024;4;0
10/01/2024;5;0
10/01/2024;6;0
10/01/2024;7;0
10/01/2024;8;1
10/01/2024;9;10
10/01/2024;10;60
10/01/2024;11;101
10/01/2024;12;128
10/01/2024;13;144
10/01/2024;14;80
10/01/2024;15;139
10/01/2024;16;58
10/01/2024;17;7
10/01/2024;18;1
10/01/2024;19;0
10/01/2024;20;0
10/01/2024;21;0
10/01/2024;22;0
10/01/2024;23;0
10/01/2024;24;0
11/01/2024;1;0
11/01/2024;2;0
11/01/2024;3;0
11/01/2024;4;1
11/01/2024;5;0
11/01/2024;6;0
11/01/2024;7;0
11/01/2024;8;0
11/01/2024;9;10
11/01/2024;10;34
11/01/2024;11;77
11/01/2024;12;72
11/01/2024;13;98
11/01/2024;14;142
11/01/2024;15;114
11/01/2024;16;72
11/01/2024;17;11
11/01/2024;18;0
11/01/2024;19;0
11/01/2024;20;0
11/01/2024;21;1
11/01/2024;22;0
11/01/2024;23;0
11/01/2024;24;0
12/01/2024;1;1
12/01/2024;2;0
12/01/2024;3;0
12/01/2024;4;0
12/01/2024;5;0
12/01/2024;6;0
12/01/2024;7;0
12/01/2024;8;1
12/01/2024;9;5
12/01/2024;10;42
12/01/2024;11;108
12/01/2024;12;171
12/01/2024;13;204
12/01/2024;14;217
12/01/2024;15;172
12/01/2024;16;91
12/01/2024;17;13
12/01/2024;18;1
12/01/2024;19;0
12/01/2024;20;0
12/01/2024;21;0
12/01/2024;22;0
12/01/2024;23;0
12/01/2024;24;0
13/01/2024;1;0
13/01/2024;2;0
13/01/2024;3;0
13/01/2024;4;0
13/01/2024;5;0
13/01/2024;6;1
13/01/2024;7;0
13/01/2024;8;0
13/01/2024;9;7
13/01/2024;10;41
13/01/2024;11;109
13/01/2024;12;171
13/01/2024;13;207
13/01/2024;14;226
13/01/2024;15;171
13/01/2024;16;97
13/01/2024;17;15
13/01/2024;18;1
13/01/2024;19;0
13/01/2024;20;0
13/01/2024;21;0
13/01/2024;22;0
13/01/2024;23;0
13/01/2024;24;0
14/01/2024;1;0
14/01/2024;2;0
14/01/2024;3;0
14/01/2024;4;0
14/01/2024;5;1
14/01/2024;6;0
14/01/2024;7;0
14/01/2024;8;0
14/01/2024;9;7
14/01/2024;10;42
14/01/2024;11;105
14/01/2024;12;169
14/01/2024;13;212
14/01/2024;14;211
14/01/2024;15;177
14/01/2024;16;98
14/01/2024;17;15
14/01/2024;18;1
14/01/2024;19;0
14/01/2024;20;0
14/01/2024;21;0
14/01/2024;22;0
14/01/2024;23;0
14/01/2024;24;0
15/01/2024;1;0
15/01/2024;2;1
15/01/2024;3;0
15/01/2024;4;0
15/01/2024;5;0
15/01/2024;6;0
15/01/2024;7;0
15/01/2024;8;0
15/01/2024;9;6
15/01/2024;10;49
15/01/2024;11;70
15/01/2024;12;173
15/01/2024;13;206
15/01/2024;14;220
15/01/2024;15;182
15/01/2024;16;92
15/01/2024;17;18
15/01/2024;18;1
15/01/2024;19;0
15/01/2024;20;1
15/01/2024;21;0
15/01/2024;22;0
15/01/2024;23;0
15/01/2024;24;0
16/01/2024;1;0
16/01/2024;2;0
16/01/2024;3;0
16/01/2024;4;0
16/01/2024;5;0
16/01/2024;6;0
16/01/2024;7;0
16/01/2024;8;1
16/01/2024;9;14
16/01/2024;10;62
16/01/2024;11;74
16/01/2024;12;104
16/01/2024;13;109
16/01/2024;14;172
16/01/2024;15;168
16/01/2024;16;80
16/01/2024;17;5
16/01/2024;18;1
16/01/2024;19;0
16/01/2024;20;0
16/01/2024;21;0
16/01/2024;22;1
16/01/2024;23;0
16/01/2024;24;0
17/01/2024;1;0
17/01/2024;2;0
17/01/2024;3;0
17/01/2024;4;0
17/01/2024;5;0
17/01/2024;6;0
17/01/2024;7;0
17/01/2024;8;1
17/01/2024;9;6
17/01/2024;10;38
17/01/2024;11;105
17/01/2024;12;171
17/01/2024;13;206
17/01/2024;14;219
17/01/2024;15;180
17/01/2024;16;104
17/01/2024;17;17
17/01/2024;18;1
17/01/2024;19;0
17/01/2024;20;0
17/01/2024;21;0
17/01/2024;22;1
17/01/2024;23;0
17/01/2024;24;0
18/01/2024;1;0
18/01/2024;2;0
18/01/2024;3;0
18/01/2024;4;0
18/01/2024;5;0
18/01/2024;6;0
18/01/2024;7;0
18/01/2024;8;1
18/01/2024;9;7
18/01/2024;10;41
18/01/2024;11;103
18/01/2024;12;170
18/01/2024;13;213
18/01/2024;14;220
18/01/2024;15;152
18/01/2024;16;49
18/01/2024;17;5
18/01/2024;18;1
18/01/2024;19;0
18/01/2024;20;0
18/01/2024;21;0
18/01/2024;22;0
18/01/2024;23;1
18/01/2024;24;0
19/01/2024;1;0
19/01/2024;2;0
19/01/2024;3;0
19/01/2024;4;0
19/01/2024;5;0
19/01/2024;6;0
19/01/2024;7;0
19/01/2024;8;0
19/01/2024;9;2
19/01/2024;10;8
19/01/2024;11;30
19/01/2024;12;29
19/01/2024;13;29
19/01/2024;14;27
19/01/2024;15;18
19/01/2024;16;26
19/01/2024;17;8
19/01/2024;18;1
19/01/2024;19;0
19/01/2024;20;0
19/01/2024;21;0
19/01/2024;22;0
19/01/2024;23;0
19/01/2024;24;0
20/01/2024;1;0
20/01/2024;2;0
20/01/2024;3;0
20/01/2024;4;0
20/01/2024;5;0
20/01/2024;6;0
20/01/2024;7;0
20/01/2024;8;1
20/01/2024;9;5
20/01/2024;10;28
20/01/2024;11;12
20/01/2024;12;16
20/01/2024;13;52
20/01/2024;14;28
20/01/2024;15;16
20/01/2024;16;7
20/01/2024;17;1
20/01/2024;18;1
20/01/2024;19;0
20/01/2024;20;0
20/01/2024;21;0
20/01/2024;22;0
20/01/2024;23;0
20/01/2024;24;0
21/01/2024;1;1
21/01/2024;2;0
21/01/2024;3;0
21/01/2024;4;0
21/01/2024;5;0
21/01/2024;6;0
21/01/2024;7;0
21/01/2024;8;0
21/01/2024;9;4
21/01/2024;10;25
21/01/2024;11;47
21/01/2024;12;75
21/01/2024;13;162
21/01/2024;14;190
21/01/2024;15;139
21/01/2024;16;92
21/01/2024;17;22
21/01/2024;18;1
21/01/2024;19;0
21/01/2024;20;0
21/01/2024;21;0
21/01/2024;22;0
21/01/2024;23;0
21/01/2024;24;0
22/01/2024;1;0
22/01/2024;2;0
22/01/2024;3;0
22/01/2024;4;1
22/01/2024;5;0
22/01/2024;6;0
22/01/2024;7;0
22/01/2024;8;0
22/01/2024;9;7
22/01/2024;10;26
22/01/2024;11;24
22/01/2024;12;69
22/01/2024;13;44
22/01/2024;14;41
22/01/2024;15;43
22/01/2024;16;15
22/01/2024;17;7
22/01/2024;18;1
22/01/2024;19;0
22/01/2024;20;0
22/01/2024;21;0
22/01/2024;22;0
22/01/2024;23;0
22/01/2024;24;0
23/01/2024;1;0
23/01/2024;2;0
23/01/2024;3;0
23/01/2024;4;0
23/01/2024;5;1
23/01/2024;6;0
23/01/2024;7;0
23/01/2024;8;0
23/01/2024;9;4
23/01/2024;10;10
23/01/2024;11;19
23/01/2024;12;28
23/01/2024;13;35
23/01/2024;14;31
23/01/2024;15;24
23/01/2024;16;21
23/01/2024;17;5
23/01/2024;18;1
23/01/2024;19;0
23/01/2024;20;0
23/01/2024;21;1
23/01/2024;22;0
23/01/2024;23;0
23/01/2024;24;0
24/01/2024;1;0
24/01/2024;2;0
24/01/2024;3;0
24/01/2024;4;0
24/01/2024;5;0
24/01/2024;6;0
24/01/2024;7;0
24/01/2024;8;1
24/01/2024;9;10
24/01/2024;10;52
24/01/2024;11;68
24/01/2024;12;157
24/01/2024;13;212
24/01/2024;14;225
24/01/2024;15;178
24/01/2024;16;63
24/01/2024;17;17
24/01/2024;18;1
24/01/2024;19;0
24/01/2024;20;1
24/01/2024;21;0
24/01/2024;22;0
24/01/2024;23;0
24/01/2024;24;0
25/01/2024;1;0
25/01/2024;2;0
25/01/2024;3;0
25/01/2024;4;0
25/01/2024;5;0
25/01/2024;6;0
25/01/2024;7;0
25/01/2024;8;1
25/01/2024;9;5
25/01/2024;10;10
25/01/2024;11;29
25/01/2024;12;42
25/01/2024;13;52
25/01/2024;14;30
25/01/2024;15;23
25/01/2024;16;5
25/01/2024;17;2
25/01/2024;18;0
25/01/2024;19;1
25/01/2024;20;0
25/01/2024;21;0
25/01/2024;22;0
25/01/2024;23;0
25/01/2024;24;0
26/01/2024;1;0
26/01/2024;2;0
26/01/2024;3;0
26/01/2024;4;0
26/01/2024;5;0
26/01/2024;6;0
26/01/2024;7;0
26/01/2024;8;1
26/01/2024;9;1
26/01/2024;10;1
26/01/2024;11;1
26/01/2024;12;5
26/01/2024;13;38
26/01/2024;14;54
26/01/2024;15;94
26/01/2024;16;47
26/01/2024;17;15
26/01/2024;18;1
26/01/2024;19;0
26/01/2024;20;0
26/01/2024;21;0
26/01/2024;22;1
26/01/2024;23;0
26/01/2024;24;0
27/01/2024;1;0
27/01/2024;2;0
27/01/2024;3;0
27/01/2024;4;0
27/01/2024;5;0
27/01/2024;6;0
27/01/2024;7;0
27/01/2024;8;0
27/01/2024;9;4
27/01/2024;10;11
27/01/2024;11;15
27/01/2024;12;22
27/01/2024;13;26
27/01/2024;14;12
27/01/2024;15;8
27/01/2024;16;2
27/01/2024;17;1
27/01/2024;18;1
27/01/2024;19;0
27/01/2024;20;0
27/01/2024;21;0
27/01/2024;22;0
27/01/2024;23;0
27/01/2024;24;0
28/01/2024;1;0
28/01/2024;2;1
28/01/2024;3;0
28/01/2024;4;0
28/01/2024;5;0
28/01/2024;6;0
28/01/2024;7;0
28/01/2024;8;0
28/01/2024;9;12
28/01/2024;10;47
28/01/2024;11;82
28/01/2024;12;134
28/01/2024;13;186
28/01/2024;14;255
28/01/2024;15;168
28/01/2024;16;54
28/01/2024;17;21
28/01/2024;18;1
28/01/2024;19;0
28/01/2024;20;0
28/01/2024;21;0
28/01/2024;22;0
28/01/2024;23;0
